file_name,recognized_text,Human-recognized Text
200SERIES A_crop0,"PerkinElmer
 Series 200
 Pump
 quit
 F1
 F2
 F3
 F4
 reset
 insert
 delete
 purge
 run
 stop
 7
 8
 9
 4
 5
 6
 1 yes
 2
 0 no
 .
 enter
 CE","PerkinElmer
 Series 200
 Pump
quit
F1
 F2
 F3
 F4
F5
F6
F7
F8
return
 reset
 insert
 delete
 purge
 run
 stop
 7
 8
 9
 4
 5
 6
 1 yes
 2
 0 no
 .
-
 enter
 CE"
250 G8 Notebook PC B(1)_crop0,"esc f1 ? f2 * f3 * f4 ! f5 f6 f7 f8 f9 f10 f11 f12 ins brt sc delete home end pg up pg dn ~ ! @ 1 # 2 $ . 3 % 4 ^ 5 & 6 * 7 ( 8 ) 9 + = backspace num lock / * - tab Q W E R T Y U I O P { [ } ] ' \ 7 8 9 home pg up caps lock A S D F G H J K L ; "" , . enter 4 5 6 shift Z X C V B N M < > . ? pause ↑ shift 1 2 3 end pg dn ctrl fn alt alt ctrl < > O ins del intel CORE i3","esc
f1 ? ¡
f2 @
f3 #
f4 $
f5 %
f6 ^
f7 &
f8 *
f9 (
f10 )
f11 -
f12 =
prt sc
delete

~
`
1 !
2 @
3 #
4 $
5 %
6 ^
7 &
8 *
9 (
0 )
- _
= +
backspace

tab
Q W E R T Y U I O P
{ [
} ]
\ |

caps lock
A S D F G H J K L
: ;
"" '
enter

shift
Z X C V B N M
< ,
> .
? /
shift

ctrl
fn
(win key)
alt
(space bar)
alt
ctrl

home
end
pg up
pg dn
num lock
/
*
-
+
7 home
8 ↑
9 pg up
4 ←
5
6 →
1 end
2 ↓
3 pg dn
0 ins
. del
enter
Intel Core i3"
2DP99AA#ABC (2)_crop0,"HP SSD S700 2.5"" 500GB
 S/N: HBSA30290503338
 P/N: 2DP99AA#ABC
 DC: 5V RMN: HSA-N002
 WARRANTy Void If Any Label/ Screw Is
 Removed Or Broken
 CAN ICES-3(B)/NMB-3(B)
 HP Inc. Made in Taiwan
 3YR LIMITED
 WARRANTy
 FC CE 10
 HP, HQ-TRE, 71025
 Boeblingen, Germany
 TUV Rheinland
 US
 MSIP-REI-tro-HSA-N002
 VCi
 D3D022
 RoHS
 RoHS
 COMPLIANT","HP SSD S700 2.5"" 500GB
 S/N: HBSA30290503338
 P/N: 2DP99AA#ABC
 DC: 5V RMN: HSA-N002
 WARRANTy Void If Any Label/ Screw Is
 Removed Or Broken
 CAN ICES-3(B)/NMB-3(B)
 HP Inc. Made in Taiwan
 3YR LIMITED WARRANTY
 FC CE 10
 HP, HQ-TRE, 71025
 Boeblingen, Germany
 TUV Rheinland
 MSIP-REI-tro-HSA-N002
 VCi
Hp
 D3D022
 RoHS
 RoHS
 COMPLIANT"
3.15.2024 JA 1-10_crop0,RHINO5200,RHINO5200
3.15.2024 JA 1-10_crop1,"CABLE
 MODULE
 PANELS
 INSERT
 SAVE
 2/3
 REMOVE
 RECALL
 3/
 CLR
 ESC
 OK
 BKSP
 + COPIES
 PRINT
 FEED
 7*
 8%
 9*
 A
 B
 C
 D
 E
 F
 G
 H
 I
 J
 K
 L
 M
 N
 O
 P
 Q
 R
 S
 T
 U
 V
 W
 X
 Y
 Z
 SYMBOL
 GENERAL
 BARCODE
 SETTINGS
 ADV. SER.
 SERIAL
 BLOCKS
 VERTICAL","WIRE
CABLE
 MODULE
 PANELS
FLAG
LIBRARY
FIXED
CAPS
SIZE
 INSERT
 SAVE
 REMOVE
 RECALL
AOV. SER.
CLR
 ESC
 OK
 BKSP
1[
2]
3/
4=
5+
6-
7#
8%
FEED
 8%
 9*
 A
 B
 C
 D
 E
 F
 G
 H
 I
 J
 K
 L
 M
 N
 O
 P
 Q
 R
 S
 T
 U
 V
 W
 X
 Y
 Z
 SYMBOL
 GENERAL
 BARCODE
 SETTINGS
 SERIAL
 BLOCKS
 VERTICAL"
3.15.2024 JA 1-13_crop0,"ON
 OFF
 POWER
 RESET ▲
 EJECT","ON
 OFF
 POWER
 RESET ▲
 EJECT"
3.15.2024 JA 1-13_crop1,"SUPER NINTENDO.
 ENTERTAINMENT SYSTEM","SUPER NINTENDO®
 ENTERTAINMENT SYSTEM"
3.15.2024 JA 1-13_crop2,Nintendo,Nintendo
3.15.2024 JA 1-53_crop0,"Tab
 Q W E R T Y U I O P
 Caps Lock
 A S D F G H J K L :
 Shift
 Ctrl
 Internet Mail
 Backspace
 Enter
 Shift","Tab
1 2 3 4 5 6 7 8 9 0 - +
 Q W E R T Y U I O P [ ] \
 Caps Lock
 A S D F G H J K L : M %
 Shift Z X C V B N M < > ?
 Ctrl
 Internet Mail
 Backspace
 Enter
 Shift"
3.15.2024 JA 1-53_crop1,SAMSUNG,SAMSUNG
3.15.2024 JA 1-53_crop2,Keyboard Dock,Keyboard Dock
3.15.2024 JA 1-81_crop0,"Built-in recharge
 Lithium-ion bat
 included
 Batterie au
 lithium-ion recharge
 intégrée compr
 OfficeJet 200 Mobile Printer
 On-the-go business printing
 Impression professionnelle à la route
 Wireless*
 Print
 Sans fil*
 Impression
 HP OfficeJet 200
 Compact size and lightweight
 Compact et léger
 Charge to/from USB Port1
 Charger à partir du port USB1
 Auto off technology
 Technologie d'arrêt automatique
 Quiet Mode On
 Setup
 Ink Information
 Wireless
 Wi-Fi Direct
 Hp ePrint
 OK
 ?
 Easily print from your smartphone or tablet
 Imprimez facilement à partir de votre téléphone intelligent ou de votre tablette
 AirPrint
 Android
 Google
 Cloud Print Ready
 HP Original Ink
 L'encre HP d'origine
 62
 www.hp.com/go/mobileprinting","Built-in recharge
 Lithium-ion bat
 included
 Batterie au
 lithium-ion recharge
 intégrée compr
 OfficeJet 200 Mobile Printer
 On-the-go business printing
 Impression professionnelle la route
 Wireless*
 Print
 Sans fil*
 Impression
 HP 962788 OfficeJet 200
 Compact size and lightweight
 Compact et léger
 Charge to/from USB Port1
 Charger à partir du port USB1
 Auto off technology
 Technologie d'arrêt automatique
 Quiet Mode On
 Setup
 Ink Information
 Wireless
 Wi-Fi Direct
 Hp ePrint
 OK
 ?
 Easily print from your smartphone or tablet
 Imprimez facilement à partir de votre téléphone intelligent ou de votre tablette
 AirPrint
 Android
 Google
 Cloud Print Ready
 HP Original Ink
 L'encre HP d'origine
 62
 www.hp.com/go/mobileprinting"
3.18.2024 JA 1-10_crop0,"Broadband Firewall Router
 with 4-Port Switch / VPN Endpoint
 LINKSYS®","Broadband Firewall Router
 with 4-Port Switch / VPN Endpoint
 LINKSYS®"
3.18.2024 JA 1-10_crop1,"Broadband
 Firewall Router
 with 4-Port Switch / VPN Endpoint
 Model BEFSX41","Broadband
 Firewall Router
 with 4-Port Switch / VPN Endpoint
 Model BEFSX41"
3.5.2024 JA 2-10_crop0,"AVAYA
 1 ABC 2 DEF 3 Mute
 5 JKL 6 MNO 7 PQRS 8 TUV 9 WXYZ
 4 GHI 5 JKL 6 MNO 7 PQRS 8 TUV 9 WXYZ
 Volume
 * * *
 0 # Hold
 Message","AVAYA
 1 ABC 2 DEF 3 Mute
 5 JKL 6 MNO 7 PQRS 8 TUV 9 WXYZ
 4 GHI 5 JKL 6 MNO 
 Volume
 Flash
Redial
Hold
* 0 # Hold
 Message"
3.5.2024 JA 2-21_crop0,"NINTENDO
 GAMECUBE","NINTENDO
 GAMECUBE"
3.5.2024 JA 2-21_crop1,ATI,ATI
4.1.2024 JA 1-17_crop0,"GENESIS
 CARTRIDGE INPUT
 SEGA™
 POWER
 RESTART","GENESIS
 CARTRIDGE INPUT
 SEGA™
 POWER
 RESTART"
4.1.2024 JA 1-9_crop0,"PEAKING
 TALLY
 BRIGHT
 CONTRAST
 SONY
 PowerHAD EX","PEAKING
 TALLY
 BRIGHT
 CONTRAST
 SONY
 PowerHAD EX"
4.29.2024 JA 1-13_crop0,"S.W.R
 CAL
 1.8 MHz
 200 MHz
 MADE BY DIAMOND
 POWER
 DIAMOND
 ANTENNA
 METER ADJUST
 SX-200
 RANGE
 FUNCTION
 POWER
 1.5
 2
 3
 4
 5
 10
 200
 W
 0.5 1 2 3 4 5
 50 100 150
 1.8 MHz
 200 MHz
 200W
 20W
 5W
 RANGE
 FUNCTION
 POWER
 MIN
 MAX
 REF
 FWD
 OFF
 PEP MONI","S.W.R
 CAL
 1.8 MHz
 200 MHz
 MADE BY DIAMOND
 POWER
 DIAMOND
 ANTENNA
 METER ADJUST
 SX-200
 RANGE
 FUNCTION
 POWER
 1.5
 2
 3
 4
 5
 10
 200
 W
 0.5 1 2 3 4 5
 50 100 150
 1.8 MHz
 200 MHz
 200W
 20W
 5W
 RANGE
 FUNCTION
 POWER
 MIN
 MAX
 REF
 FWD
 OFF
 PEP MONI"
4.29.2024 JA 1-14_crop0,"1.8 MHz
 200 MHz
 CAL
 MAX
 REF
 FWD
 OFF
 PWR
 PEP M
 SWR
 CAL
 AVG","1.8 MHz
 200 MHz
 CAL
 MAX
 REF
 FWD
 OFF
 PWR
 PEP M
 SWR
 CAL
 AVG"
4.29.2024 JA 1-55_crop0,ANT TX SWR & POWER METER SX-100 DIAMOND ANTENNA 13.8V,ANT TX SWR & POWER METER SX-100 DIAMOND ANTENNA 13.8V
4.29.2024 JA 1-6_crop0,P T,P T 000
45N0304 c_crop0,"lenovo
 Registered Trademark of Lenovo
 AC ADAPTER
 MODEL NAME: ADLX90NDT2A
 LC PN: 36200295
 LI PN: 45N0303, FRU PN: 45N0304
 INPUT: 100-240V~1.5A 50-60Hz
 OUTPUT: 20V---4.5A
 For Lenovo information equipment use only
 Pour les équipements d'information Lenovo utiliser uniquement
 Para equipamentos de informática Lenovo usar apenas
 Para el equipo de información de Lenovo utilice sólo
 Consumo de energía: 101.51Wh
 En modo de espera: 0.15 Wh
 Manufactured for Lenovo
 Product of China
 DCWP MMC
 CANADA ICES/NMB-003 Class/ClasseB
 This device complies with Part 15 of the
 FCC Rules. Operation is subject to the
 following two conditions:
 (1) this device may not cause harmful
 interference, and
 (2) this device must accept any interference
 received; including interference that may
 cause undesired operation.
 UL Japan PS
 レノボ・ジャパン株式会社
 EU contact address:
 Lenovo, Einsteinova 21,
 851 01 Bratislava, Slovakia
 4T18
 E131881
 US
 LISTED
 ITE POWER SUPPLY
 NOM NYCE
 CE
 Rev: B
 11S45N0303Z1ZLZ231X50C
 11S36200295ZZ10031","lenovo
 Registered Trademark of Lenovo
 AC ADAPTER
 MODEL NAME: ADLX90NDT2A
 LC PN: 36200295
 LI PN: 45N0303, FRU PN: 45N0304
 INPUT: 100-240V~1.5A 50-60Hz
 OUTPUT: 20V---4.5A
 For Lenovo information equipment use only
 Pour les équipements d'information Lenovo utiliser uniquement
 Para equipamentos de informática Lenovo usar apenas
 Para el equipo de información de Lenovo utilice sólo
 Consumo de energía: 101.51Wh
 En modo de espera: 0.15 Wh
 Manufactured for Lenovo
 Product of China
 DCWP MMC
 CANADA ICES/NMB-003 Class/ClasseB
 This device complies with Part 15 of the
 FCC Rules. Operation is subject to the
 following two conditions:
 (1) this device may not cause harmful
 interference, and
 (2) this device must accept any interference
 received; including interference that may
 cause undesired operation.
 UL Japan PS
 レノボ・ジャパン株式会社
 EU contact address:
 Lenovo, Einsteinova 21,
 851 01 Bratislava, Slovakia
 4T18
 E131881
 US
 LISTED
 ITE POWER SUPPLY
 NOM NYCE
 CE
 Rev: B
 11S45N0303Z1ZLZ231X50C
 11S36200295ZZ10031"
614-0361 a_crop0,"AcBel POLYTECH INC.
 开关电源(交换式电源供应器)
 MODEL NO/型号/型号:API4ST03
 APPLE P/N:614-1261
 INPUT:输入/输入:100V-240V~ 50/60Hz 2.8A
 OUTPUT/输出/输出:12.1V=15.4A
 C
 US
 CE
 N
 156037
 ID:290Q DATE CODE:0540 REV:A
 MADE IN CHINA 中國製造/中国制造
 JL","AcBel POLYTECH INC.
 开关电源(交换式电源供应器)
 MODEL NO/型号/型号:API4ST03
 APPLE P/N:614-0361
 INPUT:输入/输入:100V-240V~ 50/60Hz 2.8A
 OUTPUT/输出/输出:12.1V=15.4A
 C
 US
 CE
 N
 156037
 ID:290Q DATE CODE:0540 REV:A
 MADE IN CHINA 中國製造/中国制造
 JL"
614-0361 a_crop1,"ACBel POLYTECH INC.
 开关电源(交换式电源供应器)
 MODEL NO/型號/型号:API4ST03
 APPLE P/N 614-0364
 INPUT:输入/输人:100V-240V~50/60Hz 2.8A
 OUTPUT/输出/输出:12.1V=15.4A
 C
 US
 CE
 N
 156037
 ID:290Q DATE CODE: 0540 REV: A
 MADE IN CHINA 中国製造/中国制造
 JL","ACBel POLYTECH INC.
 开关电源(交换式电源供应器)
 MODEL NO/型號/型号:API4ST03
 APPLE P/N 614-0364
 INPUT:输入/输人:100V-240V~50/60Hz 2.8A
 OUTPUT/输出/输出:12.1V=15.4A
 C
 US
 CE
 N
 156037
 ID:290Q DATE CODE: 0540 REV: A
 MADE IN CHINA 中国製造/中国制造
 JL"
630-7667 a_crop0,PBA D37706-501,PBA D37706-502
75-000784 b_crop0,"COMM PORT
 24PIN ATX
 SELF TEST
 PERIPHERAL & SATA
 6+2 PCI-E & 4+4 CPU
 1 2 3 1 2 3 4
 4 5 6 5 6 7 8","COMM PORT
 24PIN ATX
 SELF TEST
 PERIPHERAL & SATA
 6+2 PCI-E & 4+4 CPU
 1 2 3 1 2 3 4
 4 5 6 5 6 7 8"
A1432 16GB C Grade - White_c_crop0,"iPad
 Designed by Apple in California. Assembled in China.
 Model A1432. Compiles with the Canadian ICES-003 Class II specifications.
 FCC ID: BCGA1432. IC: 379C-A1432. Serial: F7N525ZF96
 FCXCE","iPad
 Designed by Apple in California. Assembled in China.
 Model A1432. Compiles with the Canadian ICES-003 Class II specifications.
 FCC ID: BCGA1432. IC: 379C-A1432. Serial: F7N525ZF96
 FCXCE"
BWDA1320NA...A1a_crop0,"D-Link
 WIRELESS
 WDA-1320
 WIRELESS G DESKTOP ADAPTER
 P/N: BWDA1320NA...A1
 S/N: P133285001045
 Complies With
 IDA Standards
 DB100549
 H/W Ver.: A1 MAC ID: 001E58AD3E76
 F/W Ver.: 1.10","D-Link
 WIRELESS
 WDA-1320
 WIRELESS G DESKTOP ADAPTER
 P/N: BWDA1320NA...A1
 S/N: P133285001045
 Complies With
 IDA Standards
 DB100549
 H/W Ver.: A1 MAC ID: 001E58AD3E76
 F/W Ver.: 1.10"
C7200-I 0-2FE E b_crop0,"CN6IXATAAA
 800-07114-04 AO
 DUAL FAST POWERSET 2X 1000/1000COSMOSPA
 E/SCTI
 SLOT 0
 SLOT 1
 LINK
 100Mbps
 FE/E 0
 100Mbps
 FE/E 1
 IO PWR OK
 CPU RESET
 AUX
 CONSOLE","CN5IXATAAA
 800-07114-04 AO
 DUAL FAST POWERSET 2X 1000/1000COSMOSPA
ENABLED
PCMCIA
 EJECT
 SLOT 0
 SLOT 1
 LINK
 100Mbps
 FE/E 0
LINK
 100Mbps
 FE/E 1
 IO PWR OK
 CPU RESET
 AUX
 CONSOLE"
CF402A a_crop0,"201A
 CF402A
 hp LASERJET
 Yellow Amarillo
 Jaune 黃色
 Print Cartridge / Cartouche d'Impression /
 Cartucho de Impresión / 打印硒鼓
 JET INTELLIGENCE
 More. Pages, performance and protection.
 Plus. Pages, performance et protection.
 Más. Páginas, desempeño y protección.
 HP LASERJET PRO
 M252, MFP M277","201A
 CF402A
 hp LASERJET
 Yellow Amarillo
 Jaune 黃色
 Print Cartridge / Cartouche d'Impression /
 Cartucho de Impresión / 打印硒鼓
 JET INTELLIGENCE
 More. Pages, performance and protection.
 Plus. Pages, performance et protection.
 Más. Páginas, desempeño y protección.
 HP LASERJET PRO
 M252, MFP M277"
DSC02465_crop0,"CAUTION:
 Power Backplane Removal
 Shut down server and disconnect all power before removing this PCI riser cage.
 CAUTION:
 NIC Module Removal
 Shut down server and disconnect all power before removing this PCI riser cage.
 CAUTION:
 PCI Module Removal
 PCI Module Replacement
 CAUTION:
 Power Supply backplane removal before removing system board."," CAUTION:
 Power Supply backplane removal before removing system board.
 Power Backplane Removal
 CAUTION:
 Shut down server and disconnect all power before removing this PCI riser cage.
 PCI Module Removal
 PCI Module Replacement
 NIC Module Removal
 PCI Module Removal
 PCI Module Replacement
 NIC Module Removal
CAUTION:
 Shut down server and disconnect all power before removing this PCI riser cage.
System Board Removal Handle

"
DSC_0005_crop0,哈囉,"哈囉
"
DSC_0006_crop0,iPod,"iPod
"
DSC_0009_crop0,"Phase Linear
 Model 200 Series Two
 Audio Standard Amplifier","Phase Linear
 Model 200 Series Two
 Audio Standard Amplifier"
